strPHAtr_Phatr3_J15709.p1    GO:0000398,GO:0005681
strPHAtr_Phatr3_J15730.p1    GO:0016830,GO:0019752,GO:0030170
strPHAtr_Phatr3_J15740.p1    GO:0002182,GO:0003735,GO:0005840,GO:0006414,GO:0022625
strPHAtr_Phatr3_J15757.p1    GO:0003723,GO:0019843
strPHAtr_Phatr3_J15764.p1    GO:0005515,GO:0006749
strPHAtr_Phatr3_J15768.p1    GO:0016409
strPHAtr_Phatr3_J15777.p1    GO:0016491
strPHAtr_Phatr3_J15795.p1    GO:0006511
strPHAtr_Phatr3_J15797.p1    GO:0005471,GO:0005743,GO:0140021,GO:1990544
strPHAtr_Phatr3_J15806.p1    GO:0016491
strPHAtr_Phatr3_J15815.p1    GO:0004427,GO:0009678,GO:0016020,GO:1902600
strPHAtr_Phatr3_J15844.p1    GO:0000221,GO:0046961,GO:1902600
strPHAtr_Phatr3_J15848.p1    GO:0004672,GO:0004674,GO:0005524,GO:0006468
strPHAtr_Phatr3_J15852.p1    GO:0006801,GO:0046872
strPHAtr_Phatr3_J15853.p1    GO:0005524,GO:0007018,GO:0008017,GO:1990939
strPHAtr_Phatr3_J15862.p1    GO:0043023
strPHAtr_Phatr3_J15863.p1    GO:0003677,GO:0003899,GO:0006351
strPHAtr_Phatr3_J15884.p1    GO:0008168
strPHAtr_Phatr3_J15913.p1    GO:0005515,GO:0042800,GO:0051568
strPHAtr_Phatr3_J15917.p1    GO:0019346,GO:0030170
strPHAtr_Phatr3_J15922.p1    GO:0003723
strPHAtr_Phatr3_J15929.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_J15937.p1    GO:0005515,GO:0005634
strPHAtr_Phatr3_J15952.p1    GO:0001510,GO:0008168,GO:0009452
strPHAtr_Phatr3_J15960.p1    GO:0001522,GO:0003723,GO:0009451,GO:0009982
strPHAtr_Phatr3_J15968.p1    GO:0005506,GO:0016491,GO:0046872,GO:0051536,GO:0071949
strPHAtr_Phatr3_J15977.p1    GO:0003700,GO:0006355
strPHAtr_Phatr3_J1598.p1    GO:0022857,GO:0055085
strPHAtr_Phatr3_J16008.p1    GO:0007017,GO:0030286
strPHAtr_Phatr3_J16018.p1    GO:0003924,GO:0005525
strPHAtr_Phatr3_J16021.p1    GO:0003723
strPHAtr_Phatr3_J16032.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_J16036.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_J16052.p1    GO:0004650,GO:0005975
strPHAtr_Phatr3_J16065.p1    GO:0042254
strPHAtr_Phatr3_J16067.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_J16073.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_J16074.p1    GO:0003677
strPHAtr_Phatr3_J16125.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_J16130.p1    GO:0003824
strPHAtr_Phatr3_J16140.p1    GO:0004853,GO:0006779
strPHAtr_Phatr3_J16141.p1    GO:0016274,GO:0018216
strPHAtr_Phatr3_J16142.p1    GO:0005524
strPHAtr_Phatr3_J16147.p1    GO:0005507
strPHAtr_Phatr3_J16162.p1    GO:0016891,GO:0042779
strPHAtr_Phatr3_J16168.p1    GO:0004190,GO:0006508
strPHAtr_Phatr3_J16210.p1    GO:0005509
strPHAtr_Phatr3_J16262.p1    GO:0005524,GO:0070615
strPHAtr_Phatr3_J16281.p1    GO:0003676,GO:0003743,GO:0005737,GO:0005852
strPHAtr_Phatr3_J16283.p1    GO:0071949
strPHAtr_Phatr3_J16295.p1    GO:0016491
strPHAtr_Phatr3_J16302.p1    GO:0009765,GO:0016020
strPHAtr_Phatr3_J16341.p1    GO:0055085
strPHAtr_Phatr3_J16343.p1    GO:0006826,GO:0006879,GO:0008199
strPHAtr_Phatr3_J16357.p1    GO:0004386
strPHAtr_Phatr3_J16364.p1    GO:0046854,GO:0048015
strPHAtr_Phatr3_J16375.p1    GO:0004735,GO:0006561
strPHAtr_Phatr3_J16376.p1    GO:0009922,GO:0016021
strPHAtr_Phatr3_J16379.p1    GO:0003774,GO:0005524,GO:0016459
strPHAtr_Phatr3_J16391.p1    GO:0004176,GO:0004222,GO:0005524,GO:0006508,GO:0008270,GO:0016020,GO:0016021,GO:0016887
strPHAtr_Phatr3_J16401.p1    GO:0055085
strPHAtr_Phatr3_J16421.p1    GO:0015098,GO:0015689,GO:0016021
strPHAtr_Phatr3_J16430.p1    GO:0003954,GO:0006116,GO:0016491
strPHAtr_Phatr3_J16442.p1    GO:0015078,GO:0033177,GO:1902600
strPHAtr_Phatr3_J16445.p1    GO:0008818,GO:0008939,GO:0051073
strPHAtr_Phatr3_J16455.p1    GO:0005524,GO:0016887
strPHAtr_Phatr3_J16481.p1    GO:0009765,GO:0016020
strPHAtr_Phatr3_J16490.p1    GO:0016491
strPHAtr_Phatr3_J16493.p1    GO:0000814,GO:0071985
strPHAtr_Phatr3_J16499.p1    GO:0009058,GO:0016747
strPHAtr_Phatr3_J16511.p1    GO:0003735,GO:0005840,GO:0006412,GO:0019843
strPHAtr_Phatr3_J16537.p1    GO:0005524,GO:0006457,GO:0016887
strPHAtr_Phatr3_J16540.p1    GO:0006081,GO:0016491
strPHAtr_Phatr3_J16571.p1    GO:0005975,GO:0016868
strPHAtr_Phatr3_J16586.p1    GO:0004497,GO:0005506,GO:0016705,GO:0020037
strPHAtr_Phatr3_J16592.p1    GO:0016021
strPHAtr_Phatr3_J16599.p1    GO:0004514,GO:0009435,GO:0016763
strPHAtr_Phatr3_J16603.p1    GO:0003924,GO:0005525
strPHAtr_Phatr3_J16606.p1    GO:0005506
strPHAtr_Phatr3_J16608.p1    GO:0005515,GO:0046872
strPHAtr_Phatr3_J16615.p1    GO:0008299
strPHAtr_Phatr3_J16632.p1    GO:0016021
strPHAtr_Phatr3_J16633.p1    GO:0003676
strPHAtr_Phatr3_J16648.p1    GO:0016192
strPHAtr_Phatr3_J16649.p1    GO:0004421,GO:0006084,GO:0010142
strPHAtr_Phatr3_J16669.p1    GO:0006914,GO:0030242
strPHAtr_Phatr3_J16674.p1    GO:0008168
strPHAtr_Phatr3_J16683.p1    GO:0004416,GO:0019243
strPHAtr_Phatr3_J16688.p1    GO:0030488,GO:0031515
strPHAtr_Phatr3_J16693.p1    GO:0005506,GO:0016226,GO:0051536
strPHAtr_Phatr3_J16698.p1    GO:0004801,GO:0005737,GO:0005975,GO:0006098
strPHAtr_Phatr3_J16711.p1    GO:0006508,GO:0008236
strPHAtr_Phatr3_J16719.p1    GO:0005524,GO:0016226,GO:0016887,GO:0051536
strPHAtr_Phatr3_J16722.p1    GO:0004347,GO:0006094,GO:0006096
strPHAtr_Phatr3_J16725.p1    GO:0003697,GO:0006260
strPHAtr_Phatr3_J16786.p1    GO:0005524,GO:0006457,GO:0016887,GO:0051082
strPHAtr_Phatr3_J16787.p1    GO:0003723
strPHAtr_Phatr3_J16798.p1    GO:0016021,GO:0016192
strPHAtr_Phatr3_J16803.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_J16814.p1    GO:0005515,GO:0006364,GO:0042254
strPHAtr_Phatr3_J16843.p1    GO:0000786,GO:0003677
strPHAtr_Phatr3_J16850.p1    GO:0004185,GO:0006508
strPHAtr_Phatr3_J16854.p1    GO:0097573
strPHAtr_Phatr3_J16859.p1    GO:0070403
strPHAtr_Phatr3_J16861.p1    GO:0000155,GO:0000160,GO:0005515,GO:0007165
strPHAtr_Phatr3_J16870.p1    GO:0004420,GO:0015936
strPHAtr_Phatr3_J16891.p1    GO:0006886,GO:0016192,GO:0030117
strPHAtr_Phatr3_J1690.p1    GO:0004146,GO:0004799,GO:0006231,GO:0016741,GO:0046654
strPHAtr_Phatr3_J16911.p1    GO:0006396,GO:0008033,GO:0008173,GO:0030697
strPHAtr_Phatr3_J16932.p1    GO:0003824,GO:0005965,GO:0008318,GO:0018343
strPHAtr_Phatr3_J16940.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_J16944.p1    GO:0004821,GO:0005524,GO:0006427
strPHAtr_Phatr3_J16960.p1    GO:0000413,GO:0000786,GO:0003677,GO:0003755,GO:0006334,GO:0061077
strPHAtr_Phatr3_J16962.p1    GO:0044238
strPHAtr_Phatr3_J16963.p1    GO:0000049,GO:0000166,GO:0004812,GO:0005524,GO:0005737,GO:0006418,GO:0043039
strPHAtr_Phatr3_J16982.p1    GO:0005515,GO:0006749
strPHAtr_Phatr3_J16987.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_J16991.p1    GO:0016020,GO:0022857,GO:0055085
strPHAtr_Phatr3_J17029.p1    GO:0003700,GO:0006352,GO:0006355
strPHAtr_Phatr3_J17044.p1    GO:0006629,GO:0016627
strPHAtr_Phatr3_J17048.p1    GO:0007021,GO:0007023,GO:0048487
strPHAtr_Phatr3_J17086.p1    GO:0004619,GO:0006096,GO:0016868
strPHAtr_Phatr3_J17115.p1    GO:0002943,GO:0017150
strPHAtr_Phatr3_J17172.p1    GO:0005525
strPHAtr_Phatr3_J17184.p1    GO:0016274,GO:0018216
strPHAtr_Phatr3_J1719.p1    GO:0005525
strPHAtr_Phatr3_J17198.p1    GO:0000166,GO:0004812,GO:0004822,GO:0005524,GO:0006418
strPHAtr_Phatr3_J17199.p1    GO:0005509,GO:0016021,GO:0055085
strPHAtr_Phatr3_J17215.p1    GO:0016783
strPHAtr_Phatr3_J17226.p1    GO:0046855
strPHAtr_Phatr3_J17228.p1    GO:0003677,GO:0003824,GO:0017108,GO:0033567
strPHAtr_Phatr3_J17238.p1    GO:0009058
strPHAtr_Phatr3_J17259.p1    GO:0005515,GO:0008237,GO:0070122
strPHAtr_Phatr3_J17265.p1    GO:0016021,GO:0022857,GO:0055085
strPHAtr_Phatr3_J17276.p1    GO:0006511
strPHAtr_Phatr3_J17300.p1    GO:0005515
strPHAtr_Phatr3_J17304.p1    GO:0006508,GO:0070006
strPHAtr_Phatr3_J17324.p1    GO:0003723,GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_J17335.p1    GO:0047834
strPHAtr_Phatr3_J17344.p1    GO:0015205,GO:0016020,GO:0022857,GO:0055085
strPHAtr_Phatr3_J17362.p1    GO:0008113
strPHAtr_Phatr3_J17372.p1    GO:0032006
strPHAtr_Phatr3_J17401.p1    GO:0016746
strPHAtr_Phatr3_J17408.p1    GO:0003676,GO:0005634
strPHAtr_Phatr3_J1745.p1    GO:0005509
strPHAtr_Phatr3_J17487.p1    GO:0050661,GO:0051287
strPHAtr_Phatr3_J17495.p1    GO:0003824,GO:0003873,GO:0005524,GO:0006000,GO:0006003
strPHAtr_Phatr3_J17504.p1    GO:0004176,GO:0004222,GO:0005524,GO:0006508,GO:0016020,GO:0016887
strPHAtr_Phatr3_J17519.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_J17523.p1    GO:0009263
strPHAtr_Phatr3_J17531.p1    GO:0009765,GO:0016020
strPHAtr_Phatr3_J17545.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_J1758.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_J17628.p1    GO:0006400,GO:0016763
strPHAtr_Phatr3_J17633.p1    GO:0005524,GO:0006457,GO:0016887,GO:0051082
strPHAtr_Phatr3_J1764.p1    GO:0006812,GO:0015299,GO:0016021,GO:0055085
strPHAtr_Phatr3_J17671.p1    GO:0003824
strPHAtr_Phatr3_J17683.p1    GO:0016021,GO:0016192
strPHAtr_Phatr3_J1769.p1    GO:0006147,GO:0008270,GO:0008892,GO:0016787
strPHAtr_Phatr3_J17728.p1    GO:0005524,GO:0070615
strPHAtr_Phatr3_J17766.p1    GO:0009765,GO:0016020
strPHAtr_Phatr3_J17772.p1    GO:0004642,GO:0006189
strPHAtr_Phatr3_J17779.p1    GO:0005634,GO:0006334
strPHAtr_Phatr3_J17846.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_J1785.p1    GO:0005515,GO:0008270
strPHAtr_Phatr3_J17860.p1    GO:0009055
strPHAtr_Phatr3_J17862.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_J17885.p1    GO:0006605,GO:0006886,GO:0016020
strPHAtr_Phatr3_J17895.p1    GO:0005975,GO:0016853
strPHAtr_Phatr3_J17909.p1    GO:0000413,GO:0003755
strPHAtr_Phatr3_J17914.p1    GO:0006862,GO:0055085
strPHAtr_Phatr3_J17928.p1    GO:0015078,GO:0033177,GO:1902600
strPHAtr_Phatr3_J17936.p1    GO:0030904,GO:0042147
strPHAtr_Phatr3_J17948.p1    GO:0005515
strPHAtr_Phatr3_J17954.p1    GO:0003723,GO:0003746,GO:0043022,GO:0045901,GO:0045905
strPHAtr_Phatr3_J17974.p1    GO:0005515,GO:0006364,GO:0034511
strPHAtr_Phatr3_J18008.p1    GO:0004843,GO:0008270,GO:0016579
strPHAtr_Phatr3_J18027.p1    GO:0004350,GO:0006561,GO:0016491
strPHAtr_Phatr3_J18029.p1    GO:0003824,GO:0009107,GO:0016992,GO:0051536,GO:0051539
strPHAtr_Phatr3_J18036.p1    GO:0006457,GO:0030544
strPHAtr_Phatr3_J18049.p1    GO:0009765,GO:0016020
strPHAtr_Phatr3_J18064.p1    GO:0003824
strPHAtr_Phatr3_J18067.p1    GO:0005049,GO:0006886,GO:0031267,GO:0051169
strPHAtr_Phatr3_J18096.p1    GO:0006457,GO:0030544
strPHAtr_Phatr3_J18128.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_J1813.p1    GO:0008519,GO:0015696,GO:0016020
strPHAtr_Phatr3_J18132.p1    GO:0016409
strPHAtr_Phatr3_J18180.p1    GO:0009765,GO:0016020
strPHAtr_Phatr3_J18194.p1    GO:0005515,GO:0005634,GO:0045892
strPHAtr_Phatr3_J18197.p1    GO:0005524,GO:0016021,GO:0055085,GO:0140359
strPHAtr_Phatr3_J18199.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_J18202.p1    GO:0004176,GO:0004252,GO:0005524,GO:0006508,GO:0006515,GO:0016887,GO:0030163
strPHAtr_Phatr3_J18217.p1    GO:0005515
strPHAtr_Phatr3_J18228.p1    GO:0004807,GO:0006096
strPHAtr_Phatr3_J18239.p1    GO:0035101
strPHAtr_Phatr3_J18246.p1    GO:0003866,GO:0009073,GO:0016765
strPHAtr_Phatr3_J18258.p1    GO:0005515
strPHAtr_Phatr3_J18274.p1    GO:0000413,GO:0003755
strPHAtr_Phatr3_J18280.p1    GO:0003676,GO:0005524,GO:0006260,GO:0006281,GO:0008270,GO:0043138
strPHAtr_Phatr3_J18303.p1    GO:0004376,GO:0006506,GO:0016021,GO:0051751
strPHAtr_Phatr3_J18323.p1    GO:0046855
strPHAtr_Phatr3_J18337.p1    GO:0004066,GO:0006529
strPHAtr_Phatr3_J18398.p1    GO:0015986,GO:0045261,GO:0046933
strPHAtr_Phatr3_J1840.p1    GO:0004044,GO:0009113,GO:0009116
strPHAtr_Phatr3_J18404.p1    GO:0016787
strPHAtr_Phatr3_J18458.p1    GO:0000413,GO:0003755
strPHAtr_Phatr3_J18469.p1    GO:0016021,GO:0022857,GO:0055085
strPHAtr_Phatr3_J18473.p1    GO:0005524,GO:0016021,GO:0055085,GO:0140359
strPHAtr_Phatr3_J18475.p1    GO:0003746,GO:0003924,GO:0005525,GO:0006414
strPHAtr_Phatr3_J18524.p1    GO:0000166,GO:0004812,GO:0004829,GO:0005524,GO:0005737,GO:0006418,GO:0006435,GO:0043039
strPHAtr_Phatr3_J18533.p1    GO:0005787,GO:0006465,GO:0016021
strPHAtr_Phatr3_J18549.p1    GO:0005515,GO:0031929,GO:0031931
strPHAtr_Phatr3_J18551.p1    GO:0004185,GO:0006508
strPHAtr_Phatr3_J18559.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_J18572.p1    GO:0004096,GO:0004601,GO:0006979,GO:0020037
strPHAtr_Phatr3_J18579.p1    GO:0030515,GO:0031428,GO:0032040
strPHAtr_Phatr3_J18585.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_J1859.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_J18599.p1    GO:0000398,GO:0046540
strPHAtr_Phatr3_J1862.p1    GO:0008519,GO:0015696,GO:0016020
strPHAtr_Phatr3_J18620.p1    GO:0007034
strPHAtr_Phatr3_J18622.p1    GO:0003677,GO:0005524,GO:0005634,GO:0006270,GO:0032508,GO:0042555,GO:1905775
strPHAtr_Phatr3_J1864.p1    GO:0004672,GO:0005509,GO:0005524,GO:0006468
strPHAtr_Phatr3_J18665.p1    GO:0004372,GO:0019264,GO:0030170,GO:0035999
strPHAtr_Phatr3_J18693.p1    GO:0005524,GO:0016021,GO:0055085,GO:0140359
strPHAtr_Phatr3_J1874.p1    GO:0003743,GO:0005737,GO:0005852
strPHAtr_Phatr3_J18745.p1    GO:0003979,GO:0016616,GO:0051287
strPHAtr_Phatr3_J1875.p1    GO:0004672,GO:0005509,GO:0005524,GO:0006468
strPHAtr_Phatr3_J18769.p1    GO:0016491
strPHAtr_Phatr3_J18793.p1    GO:0005524,GO:0006457,GO:0016887,GO:0051082
strPHAtr_Phatr3_J18826.p1    GO:0005524,GO:0016021,GO:0055085,GO:0140359
strPHAtr_Phatr3_J1884.p1    GO:0005737,GO:0006508,GO:0019538,GO:0030145,GO:0070006
strPHAtr_Phatr3_J18859.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_J18872.p1    GO:0015995,GO:0046406
strPHAtr_Phatr3_J18899.p1    GO:0016787
strPHAtr_Phatr3_J18911.p1    GO:0004071,GO:0005737,GO:0006529
strPHAtr_Phatr3_J18945.p1    GO:0015098,GO:0015689,GO:0016021
strPHAtr_Phatr3_J19000.p1    GO:0008299
strPHAtr_Phatr3_J19025.p1    GO:0003735,GO:0005840,GO:0006412,GO:0019843
strPHAtr_Phatr3_J19030.p1    GO:0005315,GO:1990547
strPHAtr_Phatr3_J1905.p1    GO:0004842,GO:0016567
strPHAtr_Phatr3_J19089.p1    GO:0051015
strPHAtr_Phatr3_J19093.p1    GO:0005198,GO:0006890
strPHAtr_Phatr3_J19103.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_J19122.p1    GO:0000179,GO:0006364
strPHAtr_Phatr3_J19188.p1    GO:0004853,GO:0006779
strPHAtr_Phatr3_J19191.p1    GO:0002098,GO:0006357
strPHAtr_Phatr3_J19211.p1    GO:0005524,GO:0007018,GO:0008017,GO:1990939
strPHAtr_Phatr3_J19300.p1    GO:0030234
strPHAtr_Phatr3_J19314.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_J19324.p1    GO:0000105,GO:0016763
strPHAtr_Phatr3_J19329.p1    GO:0016874
strPHAtr_Phatr3_J19333.p1    GO:0005515,GO:0006335
strPHAtr_Phatr3_J19341.p1    GO:0004298,GO:0005839,GO:0051603
strPHAtr_Phatr3_J19413.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_J19427.p1    GO:0004015,GO:0008483,GO:0009102,GO:0030170
strPHAtr_Phatr3_J19438.p1    GO:0003924,GO:0005525
strPHAtr_Phatr3_J19513.p1    GO:0006751,GO:0036374
strPHAtr_Phatr3_J19552.p1    GO:0030515,GO:0031428,GO:0032040
strPHAtr_Phatr3_J19568.p1    GO:0003678,GO:0005524,GO:0031011,GO:0035267,GO:0043139,GO:0097255
strPHAtr_Phatr3_J19579.p1    GO:0002098,GO:0008033,GO:0050660
strPHAtr_Phatr3_J19586.p1    GO:0022857,GO:0055085
strPHAtr_Phatr3_J19604.p1    GO:0003677,GO:0005524,GO:0006298,GO:0030983,GO:0032300
strPHAtr_Phatr3_J19615.p1    GO:0000463,GO:0003735,GO:0005840,GO:0006412,GO:0022625
strPHAtr_Phatr3_J19647.p1    GO:0000027,GO:0000470,GO:0006364,GO:0019843
strPHAtr_Phatr3_J19659.p1    GO:0016491,GO:0046872
strPHAtr_Phatr3_J19669.p1    GO:0000813,GO:0032509
strPHAtr_Phatr3_J19690.p1    GO:0003755
strPHAtr_Phatr3_J19692.p1    GO:0004151,GO:0016787,GO:0019856
strPHAtr_Phatr3_J19699.p1    GO:0009058,GO:0030170
strPHAtr_Phatr3_J19705.p1    GO:0004582
strPHAtr_Phatr3_J19708.p1    GO:0016829,GO:0016836
strPHAtr_Phatr3_J1971.p1    GO:0004806,GO:0006629
strPHAtr_Phatr3_J19762.p1    GO:0000287,GO:0004141,GO:0005524,GO:0008483,GO:0009102,GO:0030170
strPHAtr_Phatr3_J19821.p1    GO:0005524,GO:0016226,GO:0016887,GO:0051536,GO:0051539
strPHAtr_Phatr3_J19831.p1    GO:0052855
strPHAtr_Phatr3_J19835.p1    GO:0003899,GO:0006352
strPHAtr_Phatr3_J1990.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_J19901.p1    GO:0000103,GO:0000287,GO:0004020,GO:0004427,GO:0004781,GO:0005524,GO:0005737,GO:0006796
strPHAtr_Phatr3_J19937.p1    GO:0004386
strPHAtr_Phatr3_J19954.p1    GO:0019825
strPHAtr_Phatr3_J19979.p1    GO:0003997,GO:0005777,GO:0006631,GO:0006635,GO:0016627,GO:0071949
strPHAtr_Phatr3_J19982.p1    GO:0000398,GO:0003723,GO:0005681,GO:0017070,GO:0030623
strPHAtr_Phatr3_J20007.p1    GO:0005839,GO:0051603
strPHAtr_Phatr3_J20015.p1    GO:0004750,GO:0005975,GO:0006098,GO:0016857
strPHAtr_Phatr3_J20026.p1    GO:0005524,GO:0016021,GO:0055085,GO:0140359
strPHAtr_Phatr3_J20066.p1    GO:0006508,GO:0008234
strPHAtr_Phatr3_J20082.p1    GO:0017040,GO:0046514
strPHAtr_Phatr3_J20120.p1    GO:0000139,GO:0015165,GO:0016021,GO:0090481
strPHAtr_Phatr3_J20124.p1    GO:0003924,GO:0005525
strPHAtr_Phatr3_J20183.p1    GO:0004739,GO:0006086
strPHAtr_Phatr3_J20188.p1    GO:0003924,GO:0005525
strPHAtr_Phatr3_J20192.p1    GO:0003824,GO:0016491,GO:0050660,GO:0071949
strPHAtr_Phatr3_J20227.p1    GO:0005515,GO:0008237,GO:0061578,GO:0070122
strPHAtr_Phatr3_J20262.p1    GO:0004672,GO:0005524,GO:0006468
strPHAtr_Phatr3_J20310.p1    GO:0016627,GO:0050660
strPHAtr_Phatr3_J2032.p1    GO:0015112,GO:0022857,GO:0055085
strPHAtr_Phatr3_J20331.p1    GO:0009654,GO:0010207,GO:0010242,GO:0042549
strPHAtr_Phatr3_J20335.p1    GO:0003676,GO:0004386,GO:0005524
strPHAtr_Phatr3_J20342.p1    GO:0016491
strPHAtr_Phatr3_J2037.p1    GO:0010960
strPHAtr_Phatr3_J20424.p1    GO:0015204,GO:0016020,GO:0016021,GO:0022857,GO:0055085,GO:0071918
strPHAtr_Phatr3_J20434.p1    GO:0005838,GO:0006508
strPHAtr_Phatr3_J20445.p1    GO:0016491
strPHAtr_Phatr3_J20470.p1    GO:0008168,GO:0032259
strPHAtr_Phatr3_J20504.p1    GO:0003824,GO:0005992
strPHAtr_Phatr3_J20508.p1    GO:0009922,GO:0016021
strPHAtr_Phatr3_J20547.p1    GO:0003824,GO:0004160,GO:0009082
strPHAtr_Phatr3_J20574.p1    GO:0003677,GO:0005524,GO:0016787
strPHAtr_Phatr3_J20608.p1    GO:0003676,GO:0003723,GO:0004654,GO:0006402
strPHAtr_Phatr3_J20657.p1    GO:0015986,GO:0045261,GO:0046933
strPHAtr_Phatr3_J20677.p1    GO:0016491
strPHAtr_Phatr3_J20716.p1    GO:0003676,GO:0003723,GO:0005634,GO:0005737,GO:0006396
strPHAtr_Phatr3_J20740.p1    GO:0003676
strPHAtr_Phatr3_J20755.p1    GO:0015267,GO:0016020,GO:0055085
strPHAtr_Phatr3_J20757.p1    GO:0004853,GO:0006779
strPHAtr_Phatr3_J20773.p1    GO:0003723,GO:0006396
strPHAtr_Phatr3_J20779.p1    GO:0005975
strPHAtr_Phatr3_J20809.p1    GO:0003856,GO:0005737,GO:0009073
strPHAtr_Phatr3_J20833.p1    GO:0008168
strPHAtr_Phatr3_J20857.p1    GO:0003676
strPHAtr_Phatr3_J2087.p1    GO:0016741
strPHAtr_Phatr3_J20872.p1    GO:0005524,GO:0016021,GO:0055085,GO:0140359
strPHAtr_Phatr3_J20885.p1    GO:0004364,GO:0005515,GO:0006749
strPHAtr_Phatr3_J2089.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_J20893.p1    GO:0001522,GO:0003723,GO:0009451,GO:0009982
strPHAtr_Phatr3_J20934.p1    GO:0003862,GO:0009098,GO:0016616
strPHAtr_Phatr3_J20948.p1    GO:0009055,GO:0020037
strPHAtr_Phatr3_J2097.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_J21006.p1    GO:0004672,GO:0005509,GO:0005524,GO:0006468
strPHAtr_Phatr3_J21030.p1    GO:0015078,GO:0033179,GO:1902600
strPHAtr_Phatr3_J21039.p1    GO:0003676
strPHAtr_Phatr3_J21116.p1    GO:0004055,GO:0005524,GO:0006526
strPHAtr_Phatr3_J21122.p1    GO:0003924,GO:0005525,GO:0005874,GO:0007017
strPHAtr_Phatr3_J21135.p1    GO:0004298,GO:0005839,GO:0006508,GO:0009376,GO:0051603
strPHAtr_Phatr3_J21147.p1    GO:0005525
strPHAtr_Phatr3_J21181.p1    GO:0016491
strPHAtr_Phatr3_J21198.p1    GO:0030008,GO:0048193
strPHAtr_Phatr3_J21201.p1    GO:0003824
strPHAtr_Phatr3_J21239.p1    GO:0000786,GO:0003677
strPHAtr_Phatr3_J21290.p1    GO:0044237
strPHAtr_Phatr3_J21296.p1    GO:0003824,GO:0004076,GO:0009102,GO:0051536
strPHAtr_Phatr3_J21316.p1    GO:0003677,GO:0003918,GO:0005524,GO:0006265
strPHAtr_Phatr3_J21323.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_J21350.p1    GO:0008410
strPHAtr_Phatr3_J21354.p1    GO:0006784,GO:0016020,GO:0016021,GO:0016653
strPHAtr_Phatr3_J21369.p1    GO:0006807
strPHAtr_Phatr3_J21388.p1    GO:0003676,GO:0005524
strPHAtr_Phatr3_J21410.p1    GO:0004672,GO:0004707,GO:0005524,GO:0006468
strPHAtr_Phatr3_J21420.p1    GO:0005515
strPHAtr_Phatr3_J21430.p1    GO:0005524,GO:0016887
strPHAtr_Phatr3_J21441.p1    GO:0022857,GO:0055085
strPHAtr_Phatr3_J21455.p1    GO:0005525
strPHAtr_Phatr3_J21456.p1    GO:0005515,GO:0042800,GO:0051568
strPHAtr_Phatr3_J21485.p1    GO:0003743,GO:0005737,GO:0005852
strPHAtr_Phatr3_J21513.p1    GO:0000166,GO:0004812,GO:0004832,GO:0005524,GO:0005737,GO:0006418,GO:0006438
strPHAtr_Phatr3_J21519.p1    GO:0005524,GO:0016887
strPHAtr_Phatr3_J21535.p1    GO:0003924,GO:0005525
strPHAtr_Phatr3_J21538.p1    GO:0006364,GO:0032040
strPHAtr_Phatr3_J21543.p1    GO:0070403
strPHAtr_Phatr3_J21548.p1    GO:0005524,GO:0016021,GO:0055085,GO:0140359
strPHAtr_Phatr3_J21557.p1    GO:0006364,GO:0019843
strPHAtr_Phatr3_J21592.p1    GO:0003824
strPHAtr_Phatr3_J21608.p1    GO:0016491
strPHAtr_Phatr3_J2164.p1    GO:0016021,GO:0022857,GO:0055085
strPHAtr_Phatr3_J21659.p1    GO:0003735,GO:0005840,GO:0006412
strPHAtr_Phatr3_J21664.p1    GO:0005524,GO:0016020,GO:0140359
strPHAtr_Phatr3_J21667.p1    GO:0005515,GO:0006886,GO:0031267
